ANO;MES;DESPESAS;ARRECADACAO;SUBSIDIO;MULTAS;EMPRESTIMO;TRANSFERENCIA;BALANCO;IN_IPCA;C_REAL;C_DESPESAS;C_ARRECADACAO;C_SUBSIDIO;C_MULTAS;C_EMPRESTIMO;C_TRANSFERENCIA;PAX;IN_PAX;TARIFA;C_TARIFA;IN_C_TARIFA;SMSP;C_SMSP;IN_C_SMSP
2010;MAR;433402838,99;386713856,64;51517138,90;-34300000,00;29615149,87;-143306,42;0,00;3079,86;0,68;-293500234,82;261882474,05;34887386,52;-23227946,72;20055368,03;-97047,05;264804088,00;2,606;2,70;1,83;1,076;510,00;345,37;1,727
2010;ABR;392515565,08;343703272,17;49733685,76;6420000,00;-8099387,27;757994,42;0,00;3097,42;0,67;-264304441,69;231436176,14;33488695,02;4322973,83;-5453806,73;510403,43;241823736,00;2,380;2,70;1,82;1,069;510,00;343,41;1,717
2010;MAI;400671885,79;346854713,15;49907999,55;4215000,00;;86812,60;392639,51;3110,74;0,67;-268641332,53;232558149,55;33462171,86;2826061,07;0,00;58205,86;255245136,00;2,512;2,70;1,81;1,065;510,00;341,94;1,710
2010;JUN;381864621,81;350950557,59;46667000,00;-15715000,00;;-37935,78;0,00;3110,74;0,67;-256031492,32;235304319,54;31289155,82;-10536547,96;0,00;-25435,07;239340533,00;2,356;2,70;1,81;1,065;510,00;341,94;1,710
2010;JUL;408724842,48;343863881,90;85775223,12;-20840000,00;;-74262,54;0,00;3111,05;0,67;-274013349,02;230529892,22;57504594,06;-13971350,89;0,00;-49786,37;236330134,00;2,326;2,70;1,81;1,065;510,00;341,91;1,710
2010;AGO;445250308,14;361453858,80;63209692,62;20620000,00;;-33243,28;0,00;3112,29;0,67;-298381469,17;242225847,92;42359546,09;13818352,92;0,00;-22277,76;260112323,00;2,560;2,70;1,81;1,064;510,00;341,77;1,709
2010;SET;411547066,23;360237332,13;62924663,71;-11515000,00;;-99929,61;0,00;3126,29;0,67;-274560416,69;240329527,61;41979698,81;-7682142,48;0,00;-66667,26;249443914,00;2,455;2,70;1,80;1,060;510,00;340,24;1,701
2010;OUT;382473548,95;347080984,15;2834141,66;32510000,00;;48423,14;0,00;3149,74;0,66;-253264533,45;229828451,56;1876698,58;21527318,70;0,00;32064,61;251997520,00;2,480;2,70;1,79;1,052;510,00;337,71;1,689
2010;NOV;454215148,87;357553228,80;122962761,15;-26450000,00;;149158,92;0,00;3175,88;0,66;-298294473,25;234814167,49;80752727,33;-17370377,97;0,00;97956,40;247036588,00;2,432;2,70;1,77;1,043;510,00;334,93;1,675
2010;DEZ;448326817,60;367495583,30;62458007,24;18385000,00;;-11772,94;0,00;3195,89;0,65;-292583999,12;239832468,63;40760919,98;11998293,68;0,00;-7683,18;244850982,00;2,410;2,70;1,76;1,037;510,00;332,83;1,664
2011;JAN;337341727,97;329727783,29;0,00;7800000,00;;-186055,32;0,00;3222,42;0,65;-218341152,05;213413100,42;0,00;5048474,13;0,00;-120422,50;214757313,00;2,114;3,00;1,94;1,142;540,00;349,51;1,748
2011;FEV;384089784,74;365467978,07;19716666,67;-520000,00;;-574860,00;0,00;3248,20;0,64;-246625325,48;234668201,62;12660137,10;-333893,73;0,00;-369119,51;232584571,00;2,289;3,00;1,93;1,133;540,00;346,74;1,734
2011;MAR;495838872,37;415432099,42;57924888,69;22600000,00;;-118115,74;0,00;3273,86;0,64;-315884374,81;264659582,61;36902244,40;14397795,87;0,00;-75248,07;252087062,00;2,481;3,00;1,91;1,124;545,00;347,20;1,736
2011;ABR;430542961,45;373333801,79;43705502,40;13575000,00;;-71342,74;0,00;3299,07;0,63;-272190297,22;236022528,69;27630723,88;8582147,70;0,00;-45103,05;242149113,00;2,383;3,00;1,90;1,116;545,00;344,55;1,723
2011;MAI;455696716,70;412547461,23;46950610,95;-4145000,00;;343644,52;0,00;3314,58;0,63;-286744482,89;259593067,28;29543396,22;-2608216,91;0,00;216236,30;262504200,00;2,584;3,00;1,89;1,110;545,00;342,94;1,715
2011;JUN;444601271,74;386470315,21;45913138,41;12650000,00;;-432181,88;0,00;3319,55;0,63;-279343881,08;242820083,15;28847318,02;7948020,67;0,00;-271540,75;244896641,00;2,410;3,00;1,88;1,109;545,00;342,42;1,712
2011;JUL;432302092,80;374652858,81;48409829,30;9120000,00;;119404,69;0,00;3324,86;0,63;-271182494,57;235019211,20;30367417,81;5720963,17;0,00;74902,39;237638084,00;2,339;3,00;1,88;1,107;545,00;341,88;1,709
2011;AGO;466531062,65;417457645,29;46900370,74;1860000,00;;313046,62;0,00;3337,16;0,62;-291575623,21;260905399,09;29312099,28;1162474,92;0,00;195649,92;265011275,00;2,608;3,00;1,87;1,103;545,00;340,62;1,703
2011;SET;462611285,55;399976393,59;86666666,66;-23935000,00;;-96774,70;0,00;3354,85;0,62;-287601265,64;248661717,99;53879885,34;-14880173,72;0,00;-60163,96;253023710,00;2,490;3,00;1,87;1,097;545,00;338,82;1,694
2011;OUT;507005591,36;373684959,54;47688181,23;85845000,00;;-212549,41;0,00;3369,28;0,62;-313850858,87;231321601,77;29520338,42;53140492,81;0,00;-131574,12;250143703,00;2,462;3,00;1,86;1,092;545,00;337,37;1,687
2011;NOV;450887958,72;392667971,46;93895639,80;-35945000,00;;269347,46;0,00;3386,80;0,62;-277668595,06;241815204,53;57823390,23;-22135870,91;0,00;165871,21;244802374,00;2,410;3,00;1,85;1,087;545,00;335,63;1,678
2011;DEZ;460627027,85;381674623,28;48315361,42;31970000,00;-1123123,09;-209833,76;0,00;3403,73;0,61;-282255225,72;233876108,94;29605868,56;19590034,93;-688208,34;-128578,38;241296771,00;2,375;3,00;1,84;1,081;545,00;333,96;1,670
2012;JAN;398500636,03;357867578,35;55000000,00;-14450000,00;;83057,68;0,00;3422,79;0,61;-242826701,77;218066913,49;33514296,82;-8805119,80;0,00;50611,27;218115559,00;2,147;3,00;1,83;1,075;622,00;379,02;1,895
2012;FEV;420670594,79;387233184,39;65107124,38;-31750000,00;;80286,02;0,00;3438,19;0,61;-255187830,27;234903977,97;39495381,92;-19260232,86;0,00;48703,23;227381246,00;2,238;3,00;1,82;1,071;622,00;377,32;1,887
2012;MAR;495838872,37;415432099,42;57924888,69;22600000,00;;-118115,74;0,00;3445,41;0,61;-300156213,43;251481948,77;35064849,13;13680916,93;0,00;-71501,40;264005622,00;2,599;3,00;1,82;1,068;622,00;376,53;1,883
2012;ABR;444416530,68;386750774,11;60726732,00;2050000,00;-2219261,77;-2891713,66;0,00;3467,46;0,60;-267316903,36;232630904,05;36527178,51;1233076,66;-1334887,75;-1739368,11;239205716,00;2,354;3,00;1,80;1,061;622,00;374,13;1,871
2012;MAI;480607559,68;420516258,74;60127062,47;-1850000,00;-1080738,23;2894976,70;0,00;3479,94;0,60;-288049097,13;252033756,48;36036774,10;-1108785,78;-647733,61;1735085,95;261255783,00;2,572;3,00;1,80;1,058;622,00;372,79;1,864
